URL,Version,Status,OIDs,Name,Title,Description,Used
https://hl7.fi/fhir/finnish-base-profiles/CodeSystem/fi-base-release-for-patient-viewing-cs,2.0.0,active,,FiBaseReleaseforPatientViewingCS,Tiedon näyttäminen kansalaiselle viivästetty.,"Tiedon näyttäminen kansalaiselle viivästetty.",
https://hl7.fi/fhir/finnish-base-profiles/CodeSystem/fi-base-security-label-cs,2.0.0,active,,FiBaseSecurityLabelCS,Finnish CodeSystem for security labels,"This is the CodeSystem for security labels in accordance with finnish authorities.",
