Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Provenance-kanta-document-metadata-profile-test-example-2.json	1130	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/Schedule-ScheduleExample.json	982	4	0	0	1	0	0	0	1	2074	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/Slot-FreeSlot.json	1074	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ReleaseDateForPatientViewing.json	2371	5	0	11	0	0	0	0	0	46	0	0	1	0	0	0	0	0	0	0	35	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-RestrictionParent.json	3628	5	0	89	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	65	185	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-condition-categorization-of-accident.json	1490	5	0	34	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	32	68	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-condition-cause-of-adverse-effect.json	1468	4	0	27	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	33	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-condition-caused-by-medication.json	1454	5	0	27	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	31	61	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-condition-endocrinological-disorder.json	1356	4	0	29	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	31	61	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-condition-external-cause.json	1315	5	0	24	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	31	78	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-condition-permanence.json	1504	4	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-condition-physical-excercise.json	1662	5	0	9	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	46	62	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-condition-primary.json	1571	5	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	45	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fi-base-appointment.json	3530	5	0	194	0	0	0	0	0	107	0	0	1	0	0	0	0	0	0	0	112	124	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-fi-base-condition.json	884	4	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	90	127	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fi-base-encounter.json	5262	5	0	11	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	180	160	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fi-base-episode-of-care.json	2062	4	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	87	124	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fi-base-healthcare-service.json	1641	5	0	8	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	108	128	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fi-base-immunization.json	8359	4	0	15	0	0	0	0	0	72	0	0	1	0	0	0	0	1	0	0	306	289	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-fi-base-information-custodian-individual.json	1615	4	0	58	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	219	283	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fi-base-information-custodian-private.json	1553	4	0	17	0	0	0	0	0	15	0	0	1	0	0	0	0	1	0	0	219	204	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-fi-base-information-custodian-public.json	1559	4	0	14	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	221	196	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-fi-base-information-custodian.json	5387	4	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	208	233	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fi-base-location.json	1423	11	0	6	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	83	103	0	0	0	2	0	1
